"vwc_percent","growth_mm","species"
8.87904870689557,21.2647344417807,"pinyon"
9.53964502103344,22.0221965313695,"pinyon"
13.1174166282982,29.1490923420139,"pinyon"
10.1410167828492,26.0192381337272,"pinyon"
10.2585754703219,23.0656089693253,"pinyon"
13.4301299737666,32.8932011563922,"pinyon"
10.9218324119784,21.7461592154964,"pinyon"
7.46987753078693,19.108982560846,"pinyon"
8.62629429621295,20.5002970801151,"pinyon"
9.10867605980008,21.6492352570881,"pinyon"
12.4481635948789,28.6556061552776,"pinyon"
10.7196276541147,23.4346084020109,"pinyon"
10.8015429011881,23.9366710350374,"pinyon"
10.2213654318902,21.4055800975663,"pinyon"
8.88831773049185,18.6330530080325,"pinyon"
13.5738262736062,30.7547098300208,"pinyon"
10.9957009564585,25.8878214701758,"pinyon"
6.06676568674072,15.2395398269425,"pinyon"
11.4027118031274,27.6499585420142,"pinyon"
9.05441718454413,25.2090037403426,"pinyon"
7.86435258802631,17.7466428439396,"pinyon"
9.56405017068341,17.5097625900852,"pinyon"
7.94799110338552,20.9074592556956,"pinyon"
8.54221754141772,18.6660335576707,"pinyon"
8.74992146430149,19.1238256956683,"pinyon"
6.62661337851517,18.3043694964237,"pinyon"
11.6755740889891,25.7816021638761,"pinyon"
10.306746235673,21.172057046837,"pinyon"
7.72372612597611,18.8100592114505,"pinyon"
12.5076298421399,27.7374769594016,"pinyon"
10.8529284429536,24.717385257707,"pinyon"
9.40985703401546,22.5902748702836,"pinyon"
11.79025132209,25.8391825805953,"pinyon"
11.7562669750661,27.8012870471698,"pinyon"
11.643162163275,25.8453512029124,"pinyon"
11.3772805082002,26.4181249442318,"pinyon"
11.1078353070752,27.409348640449,"pinyon"
9.87617657884656,23.6227161393607,"pinyon"
9.38807467252017,21.1242861739779,"pinyon"
9.23905799797523,23.7757312328527,"pinyon"
8.61058604215897,22.2081797962422,"pinyon"
9.5841654439608,23.2651248069377,"pinyon"
7.46920729686347,18.4158780639498,"pinyon"
14.337911930677,30.4200117092753,"pinyon"
12.41592399661,30.55315289028,"pinyon"
7.7537828335933,17.3070464928924,"pinyon"
9.19423032940185,25.7631266448368,"pinyon"
9.06668929275356,24.1985998378775,"pinyon"
11.5599302366726,25.6484597551443,"pinyon"
9.83326186705634,20.6136819334991,"pinyon"
8.87904870689557,27.2647344417807,"juniper"
9.53964502103344,28.0221965313695,"juniper"
13.1174166282982,35.1490923420139,"juniper"
10.1410167828492,32.0192381337272,"juniper"
10.2585754703219,29.0656089693253,"juniper"
13.4301299737666,38.8932011563922,"juniper"
10.9218324119784,27.7461592154964,"juniper"
7.46987753078693,25.108982560846,"juniper"
8.62629429621295,26.5002970801151,"juniper"
9.10867605980008,27.6492352570881,"juniper"
12.4481635948789,34.6556061552776,"juniper"
10.7196276541147,29.4346084020109,"juniper"
10.8015429011881,29.9366710350374,"juniper"
10.2213654318902,27.4055800975663,"juniper"
8.88831773049185,24.6330530080325,"juniper"
13.5738262736062,36.7547098300208,"juniper"
10.9957009564585,31.8878214701758,"juniper"
6.06676568674072,21.2395398269425,"juniper"
11.4027118031274,33.6499585420142,"juniper"
9.05441718454413,31.2090037403426,"juniper"
7.86435258802631,23.7466428439396,"juniper"
9.56405017068341,23.5097625900852,"juniper"
7.94799110338552,26.9074592556956,"juniper"
8.54221754141772,24.6660335576707,"juniper"
8.74992146430149,25.1238256956683,"juniper"
6.62661337851517,24.3043694964237,"juniper"
11.6755740889891,31.7816021638761,"juniper"
10.306746235673,27.172057046837,"juniper"
7.72372612597611,24.8100592114505,"juniper"
12.5076298421399,33.7374769594016,"juniper"
10.8529284429536,30.717385257707,"juniper"
9.40985703401546,28.5902748702836,"juniper"
11.79025132209,31.8391825805953,"juniper"
11.7562669750661,33.8012870471698,"juniper"
11.643162163275,31.8453512029124,"juniper"
11.3772805082002,32.4181249442318,"juniper"
11.1078353070752,33.4093486404491,"juniper"
9.87617657884656,29.6227161393607,"juniper"
9.38807467252017,27.1242861739779,"juniper"
9.23905799797523,29.7757312328527,"juniper"
8.61058604215897,28.2081797962422,"juniper"
9.5841654439608,29.2651248069377,"juniper"
7.46920729686347,24.4158780639498,"juniper"
14.337911930677,36.4200117092753,"juniper"
12.41592399661,36.55315289028,"juniper"
7.7537828335933,23.3070464928924,"juniper"
9.19423032940185,31.7631266448368,"juniper"
9.06668929275356,30.1985998378775,"juniper"
11.5599302366726,31.6484597551443,"juniper"
9.83326186705634,26.6136819334991,"juniper"
